"gene","log2fc"
"LARP7",-0.286037768
"TERF1",0.334321268
"HSPD1",0.341016134
"DENR",-0.359861314
"MDN1",0.684418189
"CNOT6",0.425868408
"KIF13A",0.620681585
"RRAS2",-0.866465766
"SKIL",-0.31582305
"CACHD1",0.744465672
"NUP160",0.285173642
"SLIRP",-0.356553578
"TXLNG",0.460994134
"JMJD1C",0.301461114
"MYO1E",0.366127955
