ADP_HMDB0001341_C00008
cis-Aconitic acid_HMDB0000072_C00417
Citrulline_HMDB0000904_C00327
Coenzyme A_HMDB0001423_C00010
Creatinine_HMDB0000562_C00791
D-2-Hydroxyglutaric acid_HMDB0000606_C01087
Deoxycytidine_HMDB0000014_C00881
Deoxyuridine_HMDB0000012_C00526
D-Ribose 5-phosphate_HMDB0001548_C00117
Fumaric acid_HMDB0000134_C00122
Glycerol_HMDB0000131_C00116
Glycerophosphocholine_HMDB0000086_C00670
Glycine_HMDB0000123_C00037
Guanosine monophosphate_HMDB0001397_C00144
Inosine_HMDB0000195_C00294
L-Arginine_HMDB0000517_C00062
L-Cystathionine_HMDB0000099_C02291
L-Glutamic acid_HMDB0000148_C00025
L-Glutamine_HMDB0000641_C00064
L-Leucine_HMDB0000687_C00123
L-Lysine_HMDB0000182_C00047
L-Methionine_HMDB0000696_C00073
L-Proline_HMDB0000162_C00148
L-Valine_HMDB0000883_C00183
Myristic acid_HMDB0000806_C06424
Orotic acid_HMDB0000226_C00295
Oxoglutaric acid_HMDB0000208_C00026
PA(16:0/16:0)_HMDB0000674_C00416
Phosphoenolpyruvic acid_HMDB0000263_C00074
Phthalic acid_HMDB0002107_C01606
Taurine_HMDB0000251_C00245
Uridine 5'-monophosphate_HMDB0000288_C00105
Uridine diphosphate glucose_HMDB0000286_C00029
3-Methylhistidine_HMDB0000479_C01152
3-Phosphoglyceric acid_HMDB0000807_C00597
Adenosine triphosphate_HMDB0000538_C00002
Citric acid_HMDB0000094_C00158
FAD_HMDB0001248_C00016
Gamma-Aminobutyric acid_HMDB0000112_C00334
Glycerol 3-phosphate_HMDB0000126_C00093
Guanosine diphosphate mannose_HMDB0001163_C00096
L-Asparagine_HMDB0000168_C00152
L-Aspartic acid_HMDB0000191_C00049
L-Isoleucine_HMDB0000172_C00407
L-Malic acid_HMDB0000156_C00149
L-Serine_HMDB0000187_C00065
L-Tyrosine_HMDB0000158_C00082
N-Acetylglutamine_HMDB0006029_NA
N-Acetylneuraminic acid_HMDB0000230_C19910
N-Alpha-acetyllysine_HMDB0000446_C12989   
Orotidine_HMDB0000788_C01103
Palmitic acid_HMDB0000220_C00249
PC(14:0/14:0)_HMDB0007866_C00157
PS(14:0/14:0)_HMDB0012330_NA
Succinic acid_HMDB0000254_C00042
Sucrose_HMDB0000258_C00089
Taurocholic acid_HMDB0000036_C05122
Thymine_HMDB0000262_C00178
Uridine diphosphate-N-acetylglucosamine_HMDB0000290_C00043
Adenosine monophosphate_HMDB0000045_C00020
Aminoadipic acid_HMDB0000510_C00956
Betaine_HMDB0000043_C00719
Cytidine monophosphate_HMDB0000095_C00055
D-Fructose_HMDB0000660_C02336
Fructose 6-phosphate_HMDB0000124_C00085
Guanosine_HMDB0000133_C00387
L-Alanine_HMDB0000161_C00041
Maleic acid_HMDB0000176_C00122
Ribitol_HMDB0000508_C00474
S-Adenosylhomocysteine_HMDB0000939_C00021
Sorbitol_HMDB0000247_C00794
Capric acid_HMDB0000511_C01571
Caprylic acid_HMDB0000482_C06423
D-Glucose_HMDB0000122_C00031
Glucose 6-phosphate_HMDB0001401_C00668
L-Kynurenine_HMDB0000684_C00328
L-Phenylalanine_HMDB0000159_C00079
L-Tryptophan_HMDB0000929_C00078
Pantothenic acid_HMDB0000210_C00864
Uridine_HMDB0000296_C00299
Xanthine_HMDB0000292_C00385
Glutathione_HMDB0000125_C02471
Acetylglycine_HMDB0000532_NA
Alpha-Linolenic acid_HMDB0001388_C06427
Erucic acid_HMDB0002068_C08316
Glyceraldehyde_HMDB0001051_C02154
N-Acetyl-L-tyrosine_HMDB0000866_C01657
Deoxyinosine_HMDB0000071_C05512
Dodecanedioic acid_HMDB0000623_C02678
Hypotaurine_HMDB0000965_C00519
O-Phosphoethanolamine_HMDB0000224_C00346
Phytanic acid_HMDB0000801_C01607
Urocanic acid_HMDB0000301_C00785
7-Methylguanine_HMDB0000897_C02242
Alpha-Hydroxyisobutyric acid_HMDB0000729_NA
Hypoxanthine_HMDB0000157_C00262
Indoxyl sulfate_HMDB0000682_NA
Suberic acid_HMDB0000893_C08278
Taurodeoxycholic acid_HMDB0000896_C05463
Behenic acid_HMDB0000944_C08281
Caffeic acid_HMDB0001964_C01481
Isobutyrylglycine_HMDB0000730_NA
Octadecanedioic acid_HMDB0000782_NA
"1,5-Anhydrosorbitol_HMDB0002712_C07326"
2-Hydroxyethanesulfonate_HMDB0003903_C05123
Carnosine_HMDB0000033_C00386
Homocitrulline_HMDB0000679_C02427
Methionine sulfoxide_HMDB0002005_NA
Pipecolic acid_HMDB0000070_C00408
Azelaic acid_HMDB0000784_C08261
Glyceric acid_HMDB0000139_C00258
myo-Inositol_HMDB0000211_C00137
N-Acetylglutamic acid_HMDB0001138_C00624
Pyrrolidonecarboxylic acid_HMDB0000805_C02237
Undecanoic acid_HMDB0000947_C17715
Vaccenic acid_HMDB0003231_C08367
L-Carnitine_HMDB0000062_C00318
Linoleic acid_HMDB0000673_C01595
N-Acetyl-L-alanine_HMDB0000766_NA
Stearic acid_HMDB0000827_C01530
Hexadecanedioic acid_HMDB0000672_C19615
Malonic acid_HMDB0000691_C04025
Pentadecanoic acid_HMDB0000826_C16537
p-Hydroxymandelic acid_HMDB0000822_C11527
Threonic acid_HMDB0000943_C01620
Undecanedioic acid_HMDB0000888_NA
01* D-Lactic acid Results
02* Cyclic AMP Results
03* Pyruvic acid Results
01* L-Histidine Results
L-Threonine
12* Beta-N-Acetylglucosamine
